"Date","Time","# Fog Days","Station Type","Maintenance Indicator","Sky Conditions","Visibility","Weather Type","Dry Bulb Temp (F)","Dew Point Temp. (F)","Wet Bulb Temp (F)","% Rel Humidity","Wind Speed (KT)","Wind Dir.","Wind Char. Gusts (KT)","Val. For Wind Char.","Station Pressure","Pressure Tendency","Sea Level Pressure","Report Type","Precipitation total"
"1","30",,"AO20","-","OVC001","1 3/4SM","BR","-","-","-","-","0","0","-","0","-","-","-","SP","-"
"1","48",,"AO20","-","VV001","1/2SM","FG","-","-","-","-","0","0","-","0","-","-","-","SP","-"
"1","55",,"AO20","-","VV001","1/2SM","FG","52","52","52","100","0","0","-","0","30.04001953125","8","183","AA","-"
"1","155",,"AO20","-","BKN001 OVC005","1/4SM","FG","53.1000390625","53.1000390625","53.1000390625","100","4","120","-","0","30.05001953125","-","186","AA","-"
"1","210",,"AO20","-","SCT001 OVC005","1/4SM","FG","-","-","-","-","5","110","-","0","-","-","-","SP","-"
"1","220",,"AO20","-","BKN001 OVC005","1/4SM","FG","-","-","-","-","5","110","-","0","-","-","-","SP","-"
"1","255",,"AO20","-","BKN001 OVC005","1/4SM","FG","53.1000390625","53.1000390625","53.1000390625","100","6","100","-","0","30.03001953125","-","178","AA","-"
"1","355",,"AO20","-","OVC001","3/4SM","BR","53.1000390625","53.1000390625","53.1000390625","100","7","140","-","0","30.02001953125","8","176","AA","-"
"1","402",,"AO20","-","OVC001","1 1/4SM","BR","-","-","-","-","7","140","-","0","-","-","-","SP","-"
"1","416",,"AO20","-","OVC001","3/4SM","BR","-","-","-","-","6","140","-","0","-","-","-","SP","-"
"1","429",,"AO20","-","OVC001","1 1/2SM","BR","-","-","-","-","6","140","-","0","-","-","-","SP","-"
"1","455",,"AO20","-","OVC001","2SM","BR","52","52","52","100","7","130","-","0","30","-","168","AA","-"
"1","502",,"AO20","-","OVC001","1SM","BR","-","-","-","-","6","130","-","0","-","-","-","SP","-"
"1","511",,"AO20","-","OVC001","3/4SM","BR","-","-","-","-","8","130","-","0","-","-","-","SP","-"
"1","522",,"AO20","-","OVC001","1 1/4SM","BR","-","-","-","-","8","130","-","0","-","-","-","SP","-"
"1","555",,"AO20","-","OVC001","1SM","BR","53.1000390625","52","52.5","96","7","140","-","0","30","-","167","AA","-"
"1","633",,"AO20","-","OVC001","2 1/2SM","BR","-","-","-","-","8","140","-","0","-","-","-","SP","-"
"1","655",,"AO20","-","OVC001","2 1/2SM","-RA BR","53.1000390625","53.1000390625","53.1000390625","100","11","130","-","0","29.99001953125","6","166","AA","T"
"1","657",,"AO20","-","OVC003","3SM","-RA BR","-","-","-","-","11","120","-","0","-","-","-","SP","-"
"1","705",,"AO20","-","OVC003","2SM","-RA BR","-","-","-","-","12","130","-","0","-","-","-","SP","-"
"1","755",,"AO20","-","OVC003","2SM","-RA BR","53.1000390625","53.1000390625","53.1000390625","100","9","130","-","0","30","-","169","AA","0.0200000190734863"
"1","843",,"AO20","-","OVC003","3SM","BR","-","-","-","-","8","110","-","0","-","-","-","SP","-"
"1","855",,"AO20","-","OVC003","3SM","BR","54","53.1000390625","53.4000390625","97","8","120","-","0","30.03001953125","-","180","AA","T"
