"Date","Time","Station Type","Maintenance Indicator","Sky Conditions","Visibility","Weather Type","Dry Bulb Temp (F)","Dew Point Temp. (F)","Wet Bulb Temp (F)","% Rel Humidity","Wind Speed (KT)","Wind Dir.","Wind Char. Gusts (KT)","Val. For Wind Char.","Station Pressure","Pressure Tendency","Sea Level Pressure","Report Type","Precipitation total"
"1","156","AO20","-","BKN065 BKN080","10SM","-","64","57.9000390625","60.4000390625","81","20","150","G","27","29.87001953125","-","122","AA","0.0400000381469727"
"1","256","AO20","-","SCT036 BKN060 BKN085","6SM","RA BR","62.1000390625","57.9000390625","59.7000390625","86","22","140","G","30","29.86001953125","-","119","AA","0.0300000190734863"
"1","356","AO20","-","SCT037 OVC050","6SM","RA BR","63","57.9000390625","60.1000390625","84","21","160","G","26","29.87001953125","1","121","AA","-"
"1","456","AO20","-","FEW031 OVC048","7SM","-RA","62.1000390625","57.9000390625","59.7000390625","86","20","150","G","27","29.85001953125","-","114","AA","0.0300000190734863"
"1","556","AO20","-","BKN050 OVC100","10SM","RA","62.1000390625","57.9000390625","59.7000390625","86","20","150","G","24","29.85001953125","-","115","AA","T"
"1","656","AO20","-","OVC048","10SM","-RA","62.1000390625","57.9000390625","59.7000390625","86","21","160","G","28","29.84001953125","5","113","AA","0.0100000095367432"
"1","756","AO20","-","SCT026 OVC046","1 1/2SM","RA BR","62.1000390625","57.9000390625","59.7000390625","86","21","170","G","29","29.87001953125","-","120","AA","0.0700000381469727"
"1","800","AO20","-","SCT028 OVC046","3SM","RA BR","-","-","-","-","20","170","G","25","-","-","-","SP","-"
"1","808","AO20","-","SCT028 OVC046","1 1/2SM","RA BR","-","-","-","-","20","170","G","27","-","-","-","SP","-"
"1","856","AO20","-","BKN028 OVC046","1 1/2SM","RA BR","61","59","59.9000390625","93","20","170","G","29","29.90001953125","-","133","AA","0.180000152587891"
"1","857","AO20","-","BKN030 OVC040","1 3/4SM","RA BR","-","-","-","-","20","170","G","29","-","-","-","SP","-"
"1","859","AO20","-","BKN030 OVC040","2SM","RA BR","-","-","-","-","21","160","G","26","-","-","-","SP","-"
"1","912","AO20","-","SCT030 OVC042","4SM","RA BR","-","-","-","-","21","160","G","26","-","-","-","SP","-"
"1","956","AO21","-","OVC045","2SM","RA BR","62.1000390625","59","60.3000390625","90","22","160","G","26","29.91001953125","1","133","AA","0.0700000381469727"
"1","1056","AO21","-","BKN033 OVC040","4SM","RA BR","63","60.1000390625","61.3000390625","90","14","160","-","0","29.91001953125","-","136","AA","0.130000076293945"
"1","1118","AO21","-","BKN028 OVC037","2SM","RA BR","-","-","-","-","16","150","-","0","-","-","-","SP","-"
"1","1139","AO21","-","BKN029 OVC039","5SM","BR","-","-","-","-","19","160","-","0","-","-","-","SP","-"
"1","1156","AO21","-","SCT006 BKN029 OVC039","2 1/2SM","-RA BR","63","61","61.7000390625","93","13","160","-","0","29.89001953125","-","129","AA","0.0700000381469727"
"1","1157","AO21","-","OVC035","4SM","-RA BR","-","-","-","-","14","160","-","0","-","-","-","SP","-"
"1","1204","AO21","-","SCT006 OVC035","2 1/2SM","RA BR","-","-","-","-","15","150","-","0","-","-","-","SP","-"
"1","1256","AO21","-","SCT006 OVC035","2 1/2SM","RA BR","63","61","61.7000390625","93","14","150","-","0","29.86001953125","8","118","AA","0.0300000190734863"
"1","1303","AO21","-","OVC039","10SM","-RA","-","-","-","-","14","150","-","0","-","-","-","SP","-"
"1","1356","AO21","-","OVC039","7SM","RA","64","61","62.2000390625","90","13","160","-","0","29.85001953125","-","115","AA","0.0500000381469727"
"1","1456","AO21","-","FEW044 BKN060","10SM","-","64.9000390625","62.1000390625","63.1000390625","90","20","150","G","23","29.81001953125","-","100","AA","0.0100000095367432"
"1","1556","AO21","-","OVC043","10SM","-","64.9000390625","62.1000390625","63.1000390625","90","15","150","-","0","29.81001953125","5","100","AA","-"
"1","1656","AO21","-","FEW011 OVC043","10SM","-RA","64.9000390625","62.1000390625","63.1000390625","90","15","160","-","0","29.82001953125","-","104","AA","T"
"1","1734","AO21","-","FEW008 OVC032","4SM","-RA BR","-","-","-","-","15","170","-","0","-","-","-","SP","-"
"1","1756","AO21","-","BKN008 BKN028 OVC036","5SM","-RA BR","64","63","63.3000390625","96","17","170","-","0","29.83001953125","-","109","AA","0.0100000095367432"
"1","1810","AO21","-","SCT008 BKN028 OVC033","4SM","-RA BR","-","-","-","-","16","160","-","0","-","-","-","SP","-"
"1","1841","AO21","-","BKN008 OVC033","8SM","-","-","-","-","-","14","170","G","20","-","-","-","SP","-"
"1","1856","AO21","-","BKN008 OVC031","7SM","-RA","64","63","63.3000390625","96","15","160","-","0","29.86001953125","3","117","AA","0.0200000190734863"
"1","1956","AO22","-","OVC006","10SM","-","64","63","63.3000390625","96","16","170","-","0","29.88001953125","-","126","AA","T"
"1","2056","AO22","-","SCT006 OVC027","10SM","-","64.9000390625","62.1000390625","63.1000390625","90","12","160","-","0","29.90001953125","-","130","AA","T"
"1","2121","AO22","-","BKN008 OVC025","10SM","-","-","-","-","-","12","160","-","0","-","-","-","SP","-"
