"DISTRICT","ROUTE","COUNTY","Postmile Prefix","POSTMILE","DESCRIPTION","BACK PEAK HR","BACK PEAK MONTH","BACK AADT","AHEAD PEAK HR","AHEAD PEAK MONTH","AHEAD AADT",
12,1,"ORA"," ","       ","ORANGE COUNTY                                                                                                 ","      ","       ","       ","      ","       ","       ",
12,1,"ORA","R",0.13,"SERRA JUNCTION, JCT. RTE. 5                                                                                   ","      ","       ","       ",3650,46000,41000,
12,1,"ORA","R",0.79,"DOHENY BEACH,   DOHENY PARK ROAD                                                                              ",3650,46000,41000,4600,59000,52000,
12,1,"ORA","R",1.15,"MILEPOST EQUATION    =1.01                                                                                    ",,,,,,,
12,1,"ORA"," ",1.15,"DOHENY BEACH,   DEL OBISPO STREET                                                                             ",4600,59000,52000,3650,46500,41500,
12,1,"ORA"," ",4.32,"DANA POINT,   CROWN VALLEY PARKWAY                                                                            ",3550,44500,40000,3300,41000,37000,
12,1,"ORA"," ",8.43,"LAGUNA BEACH, MOUNTAIN ROAD                                                                                   ",3800,47000,43000,3200,39500,36500,
12,1,"ORA"," ",9.42,"LAGUNA BEACH,   JCT. RTE. 133 NORTH                                                                           ",3200,39500,36500,3100,39000,36000,
12,1,"ORA"," ",9.6,"LAGUNA BEACH, CLIFF DRIVE                                                                                     ",3100,39000,36000,3400,43000,40000,
12,1,"ORA"," ",11.5,"LAGUNA BEACH,   NORTH CITY LIMITS                                                                             ",2800,35000,33000,2750,35000,33000,
12,1,"ORA"," ",16.25,"NEWPORT BEACH, JCT. RTE. 73                                                                                   ",4350,56000,53000,3050,39000,37000,
12,1,"ORA"," ",17.43,"NEWPORT BEACH, JAMBOREE ROAD                                                                                  ",3650,46000,43500,4750,59000,56000,
12,1,"ORA","R",18.08,"NEWPORT BEACH, BAYSIDE DRIVE                                                                                  ",4750,59000,56000,5300,66000,62000,
12,1,"ORA","R",18.45,"NEWPORT BEACH, DOVER DRIVE                                                                                    ",5300,66000,62000,4500,55000,52000,
12,1,"ORA"," ",19.8,"NEWPORT BEACH, JCT. RTE.   55, NEWPORT BOULEVARD                                                              ",4500,55000,52000,2850,35000,33000,
12,1,"ORA"," ",20.37,"NEWPORT BEACH,   SUPERIOR AVENUE                                                                              ",2850,35000,33000,3350,40500,38000,
12,1,"ORA"," ",21.55,"SANTA ANA RIVER BRIDGE                                                                                        ",3350,40500,38000,3350,40500,38000,
12,1,"ORA"," ",22.09,"HUNTINGTON BEACH,   BROOKHURST STREET                                                                         ",3350,40500,38000,2700,32000,30000,
12,1,"ORA"," ",23.74,"HUNTINGTON BEACH, JCT. RTE.   39, BEACH BOULEVARD                                                             ",2700,32000,30000,2800,33000,31000,
12,1,"ORA"," ",25.89,"HUNTINGTON BEACH,   GOLDENWEST STREET                                                                         ",2900,34500,32000,2900,34000,31500,
12,1,"ORA"," ",29.89,"SUNSET BEACH, WARNER AVENUE                                                                                   ",2900,34000,31500,3750,44000,41000,
12,1,"ORA"," ",32.72,"SEAL BEACH,   SEAL BEACH BOULEVARD                                                                            ",3900,46000,43000,3600,42500,40000,
12,1,"ORA"," ",33.72,"ORANGE-LOS ANGELES COUNTY   LINE (SEAL BEACH  NORTH CITY LIMITS)                                              ",3600,42500,40000,"      ","       ","       ",
7,1," LA"," ",0,"ORANGE-LOS ANGELES COUNTY   LINE (LONG BEACH  SOUTH CITY LIMITS)                                              ","      ","       ","       ",3600,42500,40000,
7,1," LA"," ",1.86,"LONG BEACH,   BELLFLOWER BOULEVARD                                                                            ",3500,41500,39000,2400,28000,26500,
7,1," LA"," ",1.97,"LONG BEACH, JCT. RTE. 22,   SEVENTH STREET                                                                    ",2400,28000,26500,3250,38000,36000,
7,1," LA"," ",2.75,"LONG BEACH, ANAHEIM STREET                                                                                    ",3250,38000,36000,2400,28000,27000,
7,1," LA"," ",3.56,"LONG BEACH, JCT. RTE. 19,   LAKEWOOD BOULEVARD                                                                ",3300,38500,37000,3750,43500,42000,
7,1," LA"," ",5.01,"LONG BEACH, CHERRY AVENUE                                                                                     ",3450,39500,38500,3700,42000,41000,
7,1," LA"," ",6.26,"LONG BEACH,   LONG BEACH BOULEVARD                                                                            ",3450,39000,38000,3650,41500,40500,
7,1," LA"," ",7.29,"LONG BEACH, JCT. RTE. 710,   LONG BEACH FREEWAY                                                               ",3650,41500,40500,3750,42500,41500,
7,1," LA"," ",8.27,"LONG BEACH, JCT. RTES. 47   AND 103, TERMINAL ISLAND FREEWAY                                                  ",3150,35000,34500,2850,32000,31500,
7,1," LA"," ",10.53,"WILMINGTON, AVALON BOULEVARD                                                                                  ",2850,32000,31500,2800,33000,32500,
7,1," LA"," ",11.61,"WILMINGTON, JCT. RTE. 110,   HARBOR FREEWAY                                                                   ",2800,33000,32500,3550,47000,46000,
7,1," LA"," ",12.17,"WILMINGTON, VERMONT AVENUE                                                                                    ",3550,47000,46000,3150,41500,40500,
7,1," LA"," ",13.1,"JCT. RTE. 213, WESTERN AVENUE                                                                                 ",2700,35000,34000,3600,46000,45000,
7,1," LA"," ",14.63,"TORRANCE, CRENSHAW BOULEVARD                                                                                  ",3600,46000,45000,2850,36500,35500,
7,1," LA"," ",16.01,"TORRANCE, JCT. RTE. 107,   HAWTHORNE BOULEVARD                                                                ",2900,36000,35000,3500,44000,42500,
7,1," LA"," ",18.09,"TORRANCE,   PALOS VERDES BOULEVARD                                                                            ",3200,39000,37500,2350,28500,27500,
7,1," LA"," ",19.52,"REDONDO BEACH,   TORRANCE BOULEVARD                                                                           ",3150,37500,36000,3750,44500,42500,
7,1," LA"," ",21.29,"HERMOSA BEACH, PIER AVENUE/   AVIATION BOULEVARD                                                              ",5600,64000,61000,4000,46000,44000,
7,1," LA"," ",21.92,"MANHATTAN BEACH, JCT. RTE.   91, ARTESIA BOULEVARD                                                            ",4200,47500,45500,4650,52000,50000,
7,1," LA"," ",22.9,"MANHATTAN BEACH,   MANHATTAN BEACH BOULEVARD                                                                  ",5900,65000,62000,5000,55000,53000,
7,1," LA"," ",23.92,"EL SEGUNDO,   ROSECRANS AVENUE                                                                                ",5500,60000,57000,5600,61000,58000,
7,1," LA"," ",24.91,"EL SEGUNDO,   EL SEGUNDO BOULEVARD                                                                            ",5100,54000,52000,4700,50000,48000,
