,,,"Post","Post",,"BackLeg"," ",,"AheadLeg",,,
"District","Route","County","Mile Prefix","Mile","Description","Peak Hr","Peak Mo","AADT","Peak Hr","Peak Mo","AADT",
12,1,"ORA"," ","       ","ORANGE COUNTY                                                                                                 ","      ","       ","       ","      ","       ","       ",
12,1,"ORA","R",0.13,"SERRA JUNCTION, JCT. RTE. 5                                                                                   ","      ","       ","       ",3650,46000,41000,
12,1,"ORA","R",0.78,"DOHENY BEACH, DOHENY PARK ROAD                                                                                ",3650,46000,41000,4600,59000,52000,
12,1,"ORA","R",1.15,"MILEPOST EQUATION    =1.01                                                                                    ",,,,,,,
12,1,"ORA"," ",1.15,"DOHENY BEACH, DEL OBISPO STR  DANA POINT DRIVE                                                                ",4600,59000,52000,3000,38500,34000,
12,1,"ORA"," ",4.32,"DANA POINT, CROWN VALLEY PARKWAY                                                                              ",2650,33500,30000,3450,43000,39000,
12,1,"ORA"," ",8.43,"LAGUNA BEACH, MOUNTAIN ROAD                                                                                   ",3250,40000,36500,3200,39500,36500,
12,1,"ORA"," ",9.42,"LAGUNA BEACH,   JCT. RTE. 133 NORTH                                                                           ",3200,39500,36500,3100,39000,36000,
12,1,"ORA"," ",9.6,"LAGUNA BEACH, CLIFF DRIVE/   ASTER STREET                                                                     ",3100,39000,36000,3400,43000,40000,
12,1,"ORA"," ",11.5,"LAGUNA BEACH NORTH CITY LIMITS                                                                                ",2800,35000,33000,2750,35000,33000,
12,1,"ORA"," ",16.25,"NEWPORT BEACH, JCT. RTE. 73 NORTH                                                                             ",4100,53000,50000,3050,39000,37000,
12,1,"ORA"," ",17.43,"NEWPORT BEACH, JAMBOREE ROAD                                                                                  ",3700,46500,44000,4800,60000,57000,
12,1,"ORA","R",18.07,"NEWPORT BEACH, BAYSIDE DRIVE                                                                                  ",4800,60000,57000,5400,67000,63000,
12,1,"ORA","R",18.45,"NEWPORT BEACH, DOVER DRIVE                                                                                    ",5400,67000,63000,4550,56000,53000,
12,1,"ORA","R",18.54,"MILEPOST EQUATION   =18.83                                                                                    ",,,,,,,
12,1,"ORA"," ",19.8,"NEWPORT BEACH, JCT. RTE. 55,  NEWPORT BOULEVARD                                                               ",4550,56000,53000,3050,37000,35000,
12,1,"ORA"," ",20.37,"NEWPORT BEACH, BALBOA   BOULEVARD/SUPERIOR AVENUE                                                             ",3050,37000,35000,3500,42500,40000,
12,1,"ORA"," ",21.55,"SANTA ANA RIVER BRIDGE                                                                                        ",3500,42500,40000,3450,41500,39000,
12,1,"ORA"," ",22.09,"HUNTINGTON BEACH,   BROOKHURST STREET                                                                         ",3450,41500,39000,3050,36500,34000,
12,1,"ORA"," ",23.74,"HUNTINGTON BEACH, JCT. RTE.   39 NORTH, BEACH BOULEVARD                                                       ",3050,36500,34000,2700,32000,30000,
12,1,"ORA"," ",25.89,"HUNTINGTON BEACH,   GOLDENWEST STREET                                                                         ",2850,33000,31000,2850,33000,31000,
12,1,"ORA"," ",29.89,"SUNSET BEACH, WARNER AVENUE                                                                                   ",2850,33000,31000,3550,41500,39000,
12,1,"ORA"," ",32.72,"SEAL BEACH, SEAL BEACH BOULEVARD                                                                              ",3700,43500,41000,4150,42000,38500,
12,1,"ORA"," ",33.72,"ORANGE-LOS ANGELES COUNTY   LINE (SEAL BEACH NORTH CITY LIMITS)                                               ",4150,42000,38500,"      ","       ","       ",
7,1," LA"," ",0,"ORANGE-LOS ANGELES COUNTY LI  (LONG BEACH SOUTH CITY LIMITS)                                                  ","      ","       ","       ",4150,42000,38500,
7,1," LA"," ",1.86,"LONG BEACH, BELLFLOWER BOULEVARD                                                                              ",3600,35500,34000,2600,26000,25000,
7,1," LA"," ",1.97,"LONG BEACH, JCT. RTE. 22,   7TH STREET                                                                        ",2600,26000,25000,3650,37000,35500,
7,1," LA"," ",2.75,"LONG BEACH, ANAHEIM STREET                                                                                    ",3650,37000,35500,2600,27000,26000,
7,1," LA"," ",3.56,"LONG BEACH, JCT. RTE. 19,   LAKEWOOD BOULEVARD                                                                ",3350,35500,34000,3500,37500,36000,
7,1," LA"," ",5.01,"LONG BEACH, CHERRY AVENUE                                                                                     ",3500,38000,36500,3200,35000,34000,
7,1," LA"," ",6.26,"LONG BEACH, LONG BEACH BOULEVARD                                                                              ",3350,37500,36500,3600,40000,39000,
7,1," LA"," ",7.29,"LONG BEACH, JCT. RTE. 710,   LONG BEACH FREEWAY                                                               ",3350,38000,37000,3500,40500,39500,
7,1," LA"," ",8.27,"LONG BEACH, JCT. RTE. 103,   TERMINAL ISLAND FREEWAY                                                          ",2550,30000,29000,2750,30000,29000,
7,1," LA"," ",9.25,"WILMINGTON, ALAMEDA STREET                                                                                    ",2750,30000,29000,2650,32000,31500,
7,1," LA"," ",10.53,"WILMINGTON, AVALON BOULEVARD                                                                                  ",2450,30000,29500,2900,36000,35500,
7,1," LA"," ",11.61,"WILMINGTON, JCT. RTE. 110,   HARBOR FREEWAY                                                                   ",2600,33000,32500,3850,49000,48000,
7,1," LA"," ",12.17,"WILMINGTON, VERMONT AVENUE                                                                                    ",3850,49000,48000,3100,41000,40000,
7,1," LA"," ",12.52,"WILMINGTON, NORMANDIE AVENUE                                                                                  ",3100,41000,40000,3550,46500,45500,
7,1," LA"," ",13.1,"WILMINGTON, JCT. RTE. 213,   WESTERN AVENUE                                                                   ",3100,40500,39500,3750,48500,47000,
7,1," LA"," ",14.63,"TORRANCE, CRENSHAW BOULEVARD                                                                                  ",3700,47500,46000,3350,39500,38500,
7,1," LA"," ",16.01,"TORRANCE, JCT. RTE. 107,   HAWTHORNE BOULEVARD                                                                ",3350,39500,38500,3700,44000,43000,
7,1," LA"," ",18.09,"TORRANCE, PALOS VERDES BOULEVARD                                                                              ",3250,39500,38000,2300,28500,27500,
