"District","Route","County","Prefix","Postmile","Description","Back Peak Hour","Back Peak Month","Back AADT","Ahead Peak Hour","Ahead Peak Month","Ahead AADT",
12,1,"ORA"," ","       ","ORANGE COUNTY                                                                                                 ","      ","       ","       ","      ","       ","       ",
12,1,"ORA","R",0.13,"DANA POINT, JCT. RTE. 5                                                                                       ","      ","       ","       ",2600,37000,34000,
12,1,"ORA","R",0.78,"DANA POINT, DOHENY PARK ROAD                                                                                  ",2600,37000,34000,3400,48000,44000,
12,1,"ORA","R",1.15,"MILEPOST EQUATION    =1.01                                                                                    ",,,,,,,
12,1,"ORA"," ",1.15,"DANA POINT, DEL OBISPO STREE  DANA POINT DRIVE                                                                ",3400,48000,44000,2550,36000,33000,
12,1,"ORA"," ",4.32,"DANA POINT, CROWN VALLEY PARKWAY                                                                              ",2250,31500,29000,3150,44500,41000,
12,1,"ORA"," ",8.43,"LAGUNA BEACH, MOUNTAIN ROAD                                                                                   ",2950,41500,39000,2950,41500,39000,
12,1,"ORA"," ",9.42,"LAGUNA BEACH,   JCT. RTE. 133 NORTH                                                                           ",2950,41500,39000,2950,41500,39000,
12,1,"ORA"," ",9.6,"LAGUNA BEACH, CLIFF DRIVE/   ASTER STREET                                                                     ",2950,41500,39000,3150,45000,42000,
12,1,"ORA"," ",11.5,"LAGUNA BEACH NORTH CITY LIMITS                                                                                ",2650,38500,35000,2650,38500,35000,
12,1,"ORA"," ",16.25,"NEWPORT BEACH, JCT. RTE. 73 NORTH                                                                             ",3650,53000,48000,3650,53000,48000,
12,1,"ORA"," ",17.43,"NEWPORT BEACH, JAMBOREE ROAD                                                                                  ",3400,49500,45000,4400,64000,58000,
12,1,"ORA","R",18.07,"NEWPORT BEACH, BAYSIDE DRIVE                                                                                  ",4400,64000,58000,5200,76000,69000,
12,1,"ORA","R",18.45,"NEWPORT BEACH, DOVER DRIVE                                                                                    ",5200,76000,69000,3700,54000,49000,
12,1,"ORA","R",18.54,"MILEPOST EQUATION   =18.83                                                                                    ",,,,,,,
12,1,"ORA"," ",19.8,"NEWPORT BEACH, JCT. RTE. 55,  NEWPORT AVENUE                                                                  ",3700,54000,49000,3400,41500,39000,
12,1,"ORA"," ",20.37,"NEWPORT BEACH, BALBOA   BOULEVARD/SUPERIOR AVENUE                                                             ",3400,41500,39000,3900,47500,44500,
12,1,"ORA"," ",21.55,"SANTA ANA RIVER BRIDGE                                                                                        ",3900,47500,44500,3850,46500,43500,
12,1,"ORA"," ",22.09,"HUNTINGTON BEACH,   BROOKHURST STREET                                                                         ",3850,46500,43500,2800,33000,31000,
12,1,"ORA"," ",23.74,"HUNTINGTON BEACH, JCT. RTE.   39 NORTH, BEACH BOULEVARD                                                       ",2800,33000,31000,3050,36500,34000,
12,1,"ORA"," ",25.89,"HUNTINGTON BEACH,   GOLDENWEST STREET                                                                         ",3200,37500,35000,3050,35500,33000,
12,1,"ORA"," ",29.89,"WARNER AVENUE                                                                                                 ",3050,35500,33000,3650,43000,40000,
12,1,"ORA"," ",32.72,"SEAL BEACH, SEAL BEACH BOULEVARD                                                                              ",3450,40500,38000,3250,41500,39000,
12,1,"ORA"," ",33.72,"ORANGE-LOS ANGELES   COUNTY LINE (SEAL BEACH NORTH CITY LIMITS)                               ",3250,41500,39000,"      ","       ","       ",
7,1," LA"," ",0,"ORANGE-LOS ANGELES   COUNTY LINE (LONG BEACH  SOUTH CITY LIMITS)                               ","      ","       ","       ",3250,41500,39000,
7,1," LA"," ",1.86,"LONG BEACH, BELLFLOWER BOULEVARD                                                                              ",2700,34500,32500,2150,27000,25500,
7,1," LA"," ",1.97,"LONG BEACH, JCT. RTE. 22   EAST; 7TH STREET                                                                   ",2150,27000,25500,2650,32500,31000,
7,1," LA"," ",2.75,"LONG BEACH, ANAHEIM STREET                                                                                    ",2650,32500,31000,1950,23600,22500,
7,1," LA"," ",3.56,"LONG BEACH, JCT. RTE. 19,   LAKEWOOD BOULEVARD                                                                ",2600,31500,30000,3200,38000,36500,
7,1," LA"," ",5.01,"LONG BEACH, CHERRY AVENUE                                                                                     ",2900,35000,33500,3100,37500,36000,
7,1," LA"," ",6.26,"LONG BEACH, LONG BEACH BOULEVARD                                                                              ",2800,34500,33000,2900,36000,34500,
7,1," LA"," ",7.29,"LONG BEACH, JCT. RTE. 710,   LONG BEACH FREEWAY                                                               ",3250,40000,38500,3300,41500,40000,
7,1," LA"," ",8.27,"LONG BEACH, JCT. RTE. 103,   TERMINAL ISLAND FREEWAY                                                          ",2650,33500,32000,2750,35000,33500,
7,1," LA"," ",9.25,"WILMINGTON, ALAMEDA STREET                                                                                    ",2750,35000,33500,2500,32000,31000,
7,1," LA"," ",10.53,"WILMINGTON, AVALON BOULEVARD                                                                                  ",2400,31000,30000,2800,37000,35500,
7,1," LA"," ",11.61,"WILMINGTON, JCT. RTE. 110,   HARBOR FREEWAY                                                                   ",2900,38500,37000,3900,52000,50000,
7,1," LA"," ",12.17,"WILMINGTON, VERMONT AVENUE                                                                                    ",3900,52000,50000,3500,46000,44000,
7,1," LA"," ",12.52,"WILMINGTON, NORMANDIE AVENUE                                                                                  ",3500,46000,44000,3500,45000,43500,
7,1," LA"," ",13.1,"WILMINGTON, JCT. RTE. 213,   WESTERN AVENUE                                                                   ",3300,41500,40000,4050,50000,48500,
7,1," LA"," ",14.63,"TORRANCE, CRENSHAW BOULEVARD                                                                                  ",4000,49000,47000,3200,37500,36000,
7,1," LA"," ",16.01,"TORRANCE, JCT. RTE. 107   NORTH; HAWTHORNE BOULEVARD                                                          ",3450,41500,40000,3650,44000,43000,
7,1," LA"," ",18.09,"TORRANCE, PALOS VERDES BOULEVARD                                                                              ",2550,31500,30500,2050,26000,25000,
7,1," LA"," ",19.52,"REDONDO BEACH, TORRANCE BOULEVARD                                                                             ",2750,35000,34000,3150,40000,39000,
7,1," LA"," ",21.34,"HERMOSA BEACH, PIER AVENUE/   14TH STREET                                                                     ",4850,63000,61000,3900,51000,49000,
7,1," LA"," ",21.92,"MANHATTAN BEACH, JCT. RTE.   91, ARTESIA BOULEVARD                                                            ",3800,49000,47500,3800,49500,48000,
7,1," LA"," ",22.9,"MANHATTAN BEACH,   MANHATTAN BEACH BOULEVARD                                                                  ",4350,56000,54000,4200,54000,52000,
7,1," LA"," ",23.92,"EL SEGUNDO, ROSECRANS AVENUE                                                                                  ",5000,63000,61000,4900,61000,59000,
7,1," LA"," ",24.91,"EL SEGUNDO, EL SEGUNDO BOULEVARD                                                                              ",4850,60000,58000,4900,60000,58000,
7,1," LA"," ",25.92,"LOS ANGELES, JCT. RTE. 105,   CENTURY FREEWAY                                                                 ",5100,62000,60000,7700,93000,90000,
7,1," LA"," ",26.87,"MILEPOST EQUATION   =26.90                                                                                    ",,,,,,,
7,1," LA"," ",26.91,"LOS ANGELES INTERNATIONAL   AIRPORT, CENTURY BOULEVARD                                                        ",7700,93000,90000,4950,59000,57000,
7,1," LA"," ",27.36,"LOS ANGELES INTERNATIONAL   AIRPORT VIA LINCOLN BOULEVARD                                                     ",4950,59000,57000,3200,37500,36500,
7,1," LA"," ",29.08,"LOS ANGELES, JCT. RTE 42,   MANCHESTER AVENUE                                                                 ",3350,39000,38000,4250,48500,47000,
7,1," LA"," ",30.16,"JEFFERSON BOULEVARD                                                                                           ",4250,48500,47000,4550,54000,52000,
7,1," LA"," ",30.47,"CULVER BOULEVARD                                                                                              ",4550,54000,52000,4200,50000,48500,
7,1," LA"," ",31.28,"LOS ANGELES, JCT. RTE. 90;   MARINA BOULEVARD, MARINA FREEWAY                                                 ",4200,51000,49500,5100,64000,62000,
7,1," LA"," ",31.78,"LOS ANGELES, WASHINGTON BOULEVARD                                                                             ",4000,51000,50000,3850,51000,49500,
7,1," LA"," ",32.17,"LOS ANGELES, JCT. RTE.   187, VENICE BOULEVARD                                                                ",3850,51000,49500,4000,54000,53000,
7,1," LA"," ",34.33,"SANTA MONICA, PICO BOULEVARD                                                                                  ",3650,51000,50000,3300,47500,46500,
7,1," LA","R",34.58,"SANTA MONICA, JCT. RTE. 2   NORTH, JCT. RTE. 10 EAST; CONTINUE VIA SANTA MONICA FREEWAY         ",3300,47500,46500,"      ","       ","       ",
7,1," LA"," ","       ","  (BREAK IN ROUTE)                                                                                            ","      ","       ","       ","      ","       ","       ",
7,1," LA","R",34.98,"MILEPOST EQUATION 35.01                                                                                       ","      ","       ","       ",4900,57000,53000,
7,1," LA"," ",35.18,"SANTA MONICA, JCT. RTE.   187 SOUTHWEST                                                                       ",4900,57000,53000,5200,62000,57000,
7,1," LA"," ",35.24,"END FREEWAY                                                                                                   ",,,,,,,
7,1," LA"," ",36.11,"SANTA MONICA, CALIFORNIA   INCLINE INTERCHANGE                                                                ",5200,62000,57000,6600,79000,73000,
7,1," LA"," ",37.05,"LOS ANGELES, CHAUTAUQUA BOULEVARD                                                                             ",6600,79000,73000,6200,75000,69000,
7,1," LA"," ",39.33,"PACIFIC PALISADES,   SUNSET BOULEVARD                                                                         ",5600,69000,63000,5300,66000,60000,
7,1," LA"," ",40.77,"JCT. RTE. 27 NORTH;   TOPANGA CANYON BOULEVARD                                                                ",4750,59000,54000,3800,48000,43500,
7,1," LA"," ",44.12,"MALIBU, LAS FLORES CANYON ROAD                                                                                ",3700,46500,42000,3550,44500,40000,
7,1," LA"," ",47.09,"MALIBU, CROSS CREEK ROAD                                                                                      ",3700,46500,41500,3650,45500,40500,
