,,,"LOC",,,,,,,,,"I","S","D","ACCIDENT",,"COMMON","P","ENVIR",,,"R","R","T","NO","P","D","V","S","PERSN",,"O L","O L","O L","O L","OA","M","S D","Total Accidents","PDO","Injury","Fatal",,,,,,,,,,,
,,"U","POST","H","A","M","B",,,"RI","F","R","O","A","DATE","TIME","ACCIDENT","C","COND",,,"C","W","O","MTR","T","I","H","I","K","I","S O","S O","S O","S O","F","O","P",,,,,,,,,,,,,,,
"DIST","RTES","CO","MILE","G","C","T","A","LT","RT","UO","T","L","H","Y","MO DA YR","HHMM","NUMBER","F","W","L","S",,"C","C","VEH",,"R","I",,,,"P C","O C","O C","O C",12,"V",12,,,,,,,,,,,,,,,
10,5,"SJ","R014.480","D","F","Q","G",3,4,"UI","H"," n/a ","N","wed",1/1/1997,842,926510999," speeding ","rain","day ","wet","normal","none","hit obj.",1,"pickup w/trailer","N","on SR","unk",0,0," side of bridge  beyond shoulder drivers left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," other  unk "," ran off road ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R014.480","D","F","Q","G",3,4,"UI","H"," n/a ","N","wed",1/1/1997,850,926510999," speeding ","rain","day ","wet","normal","none","other",2,"car","N","on SR","unk",0,3,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," previous collision  unk "," straight ","no drinking  unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R014.480","D","F","Q","G",3,4,"UI","H"," n/a ","N","wed",1/1/1997,850,926510999," speeding ","rain","day ","wet","normal","none","other",2,"pickup w/trailer","N","on SR","unk",0,0,"V1 int. lanes "," side of bridge  beyond shoulder drivers left "," n/a  n/a "," n/a  n/a "," previous collision  unk "," backing ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R013.560","D","F","J","Z",5,5,"UI","H"," n/a ","N","wed",1/1/1997,1155,926611776," other viol. ","cloudy","day ","wet","normal","none","t-bone",2,"car","N","on SR","unk",0,0,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," speed  unk "," lane change ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R013.560","D","F","J","Z",5,5,"UI","H"," n/a ","N","wed",1/1/1997,1155,926611776," other viol. ","cloudy","day ","wet","normal","none","t-bone",2,"semi w/1 trailer","N","on SR","unk",0,0,"V1 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R013.100","D","F","J","Z",5,4,"UI","H"," n/a ","S","thu",1/2/1997,455,926612256," other viol. ","rain","dark","wet","normal","none","sideswipe",2,"car","S","on SR","unk",0,1,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," speed  unk "," other ","no drinking  unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R013.100","D","F","J","Z",5,4,"UI","H"," n/a ","S","thu",1/2/1997,455,926612256," other viol. ","rain","dark","wet","normal","none","sideswipe",2,"semi w/1 trailer","S","on SR","unk",0,0,"V1 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R018.240","D","F","K","Z",3,3,"UI","H"," n/a ","S","sat",1/4/1997,230,926508193," dui ","clear","dark","dry","normal","none","rearend",2,"car","S","on SR","unk",0,1,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," speed  unk "," straight ","dui unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R018.240","D","F","K","Z",3,3,"UI","H"," n/a ","S","sat",1/4/1997,230,926508193," dui ","clear","dark","dry","normal","none","rearend",2,"semi w/2 trailers","S","on SR","unk",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R012.890","D","F","J","Z",5,3,"RO","H"," n/a ","S","mon",1/6/1997,550,926612476," other viol. ","clear","dark","dry","normal","none","sideswipe",5,"car","S","on SR","unk",0,0," n/a  n/a ","V2 int. lanes "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," stopped ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R012.890","D","F","J","Z",5,3,"RO","H"," n/a ","S","mon",1/6/1997,550,926612476," other viol. ","clear","dark","dry","normal","none","sideswipe",5,"car","S","on SR","unk",0,0," n/a  n/a ","V3 int. lanes ","V1 int. lanes "," n/a  n/a "," stop & go traffic  unk "," stopped ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R012.890","D","F","J","Z",5,3,"RO","H"," n/a ","S","mon",1/6/1997,550,926612476," other viol. ","clear","dark","dry","normal","none","sideswipe",5,"car","S","on SR","unk",0,0," n/a  n/a ","V4 int. lanes ","V2 int. lanes "," n/a  n/a "," stop & go traffic  unk "," stopped ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R012.890","D","F","J","Z",5,3,"RO","H"," n/a ","S","mon",1/6/1997,550,926612476," other viol. ","clear","dark","dry","normal","none","sideswipe",5,"pickup","S","on SR","unk",0,0,"V5 int. lanes ","V3 int. lanes "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," slowing, stopping ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R012.890","D","F","J","Z",5,3,"RO","H"," n/a ","S","mon",1/6/1997,550,926612476," other viol. ","clear","dark","dry","normal","none","sideswipe",5,"other veh.","S","on SR","unk",0,0,"V4 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," lane change "," imp. unk  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R012.890","D","F","J","Z",5,3,"RO","H"," n/a ","S","mon",1/6/1997,630,926612256," speeding ","clear","dark","dry","normal","none","rearend",3,"car","S","on SR","unk",0,0,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," straight ","no drinking  unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R012.890","D","F","J","Z",5,3,"RO","H"," n/a ","S","mon",1/6/1997,630,926612256," speeding ","clear","dark","dry","normal","none","rearend",3,"car","S","on SR","unk",0,1,"V1 int. lanes ","V3 int. lanes "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," slowing, stopping ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R012.890","D","F","J","Z",5,3,"RO","H"," n/a ","S","mon",1/6/1997,630,926612256," speeding ","clear","dark","dry","normal","none","rearend",3,"car","S","on SR","unk",0,0," n/a  n/a ","V2 int. lanes "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," slowing, stopping ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R013.850","D","F","J","Z",5,5,"UI","H"," n/a ","S","thu",1/9/1997,725,926612476," speeding ","fog","day ","dry","normal","none","rearend",4,"car","S","on SR","unk",0,2," n/a  n/a ","V4 int. lanes ","V2 int. lanes "," n/a  n/a "," stop & go traffic  unk "," stopped ","no drinking  unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R013.850","D","F","J","Z",5,5,"UI","H"," n/a ","S","thu",1/9/1997,725,926612476," speeding ","fog","day ","dry","normal","none","rearend",4,"car","S","on SR","unk",0,0," n/a  n/a ","V1 int. lanes "," n/a  n/a "," n/a  n/a "," speed  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R013.850","D","F","J","Z",5,5,"UI","H"," n/a ","S","thu",1/9/1997,725,926612476," speeding ","fog","day ","dry","normal","none","rearend",4,"car","S","on SR","unk",0,0,"V4 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R013.850","D","F","J","Z",5,5,"UI","H"," n/a ","S","thu",1/9/1997,725,926612476," speeding ","fog","day ","dry","normal","none","rearend",4,"car","S","on SR","unk",0,2,"V3 int. lanes ","V1 int. lanes "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," stopped ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.060","D","F","J","Z",5,4,"UI","H"," n/a ","S","thu",1/9/1997,755,926613217," speeding ","fog","day ","dry","normal","none","rearend",2,"car","S","on SR","unk",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," straight ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R014.060","D","F","J","Z",5,4,"UI","H"," n/a ","S","thu",1/9/1997,755,926613217," speeding ","fog","day ","dry","normal","none","rearend",2,"car","S","on SR","unk",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.620","D","F","J","N",3,3,"UI","H"," n/a ","S","fri",1/10/1997,615,926513839," speeding ","fog","dark","wet","normal","none","rearend",3,"pickup","S","on SR","unk",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R014.620","D","F","J","N",3,3,"UI","H"," n/a ","S","fri",1/10/1997,615,926513839," speeding ","fog","dark","wet","normal","none","rearend",3,"car","S","on SR","unk",0,0,"V1 right lane ","V3 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," stopped ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.620","D","F","J","N",3,3,"UI","H"," n/a ","S","fri",1/10/1997,615,926513839," speeding ","fog","dark","wet","normal","none","rearend",3,"semi w/2 trailers","S","on SR","unk",0,0," n/a  n/a ","V2 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," stopped ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.480","D","F","Q","G",3,4,"UI","H"," n/a ","S","fri",1/10/1997,720,926511055," speeding ","fog","day ","dry","normal","none","rearend",2,"pickup","S","on SR","unk",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," slowing, stopping ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R014.480","D","F","Q","G",3,4,"UI","H"," n/a ","S","fri",1/10/1997,720,926511055," speeding ","fog","day ","dry","normal","none","rearend",2,"car","S","on SR","unk",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
