,,,"LOC",,,,,,,,,"I","S","D","ACCIDENT",,"COMMON","P","ENVIR",,,"R","R","T","NO","P","D","V","S","PERSN",,"O L","O L","O L","O L","OA","M","SD","Total Accidents","PDO","Injury","Fatal"
,,"U","POST","H","A","M","B",,,"RI","F","R","O","A","DATE","TIME","ACCIDENT","C","COND",,,"C","W","O","MTR","T","I","H","I","K","I","S O","S O","S O","S O","F","O","P",,,,
"DIST","RTES","CO","MILE","G","C","T","A","LT","RT","UO","T","L","H","Y","MO DA YR","HHMM","NUMBER","F","W","L","S",,"C","C","VEH",,"R","I",,,,"P C","O C","O C","O C",12,"V",12,,,,
10,5,"SJ","R012.920"," div. hwy ","F","J","Z",5,3,"RO","H"," n/a ","N",2,8/26/1996,1145,926606353," unk ","clear","day","dry","normal","D"," sideswipe ",2," semi w/ 2 trailers ","N"," on sr "," unk ",0,0,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," change lanes ","A unk ",1,,1,
10,5,"SJ","R012.920"," div. hwy ","F","J","Z",5,3,"RO","H"," n/a ","N",2,8/26/1996,1145,926606353," unk ","clear","day","dry","normal","D"," sideswipe ",2," car ","N"," on sr "," unk ",0,3,"V1 int. lanes "," dike or curb  beyond shoulder drivers right "," over embankment  beyond shoulder drivers right "," rollover  beyond shoulder drivers right "," none  unk "," change lanes ","A unk ",,,,
10,5,"SJ","R013.060"," div. hwy ","F","Q","G",5,3,"RO","H"," n/a ","N",5,5/16/1996,45,926611323," other. viol. ","rain","dark","wet","normal","D"," roll-over ",1," pickup ","N"," on sr "," unk ",0,1," rollover  beyond shoulder drivers right "," over embankment  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," speeding  unk "," off road ","A unk ",1,,1,
10,5,"SJ","R013.290"," div. hwy ","F","J","Z",5,4,"RO","H"," n/a ","N",6,5/10/1996,750,926612476," other. viol. ","clear","day","dry","normal","D"," sideswipe ",2," car ","N"," on sr "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,5,"SJ","R013.290"," div. hwy ","F","J","Z",5,4,"RO","H"," n/a ","N",6,5/10/1996,750,926612476," other. viol. ","clear","day","dry","normal","D"," sideswipe ",2," semi w/ trailer ","N"," on sr "," unk ",0,0,"V1 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,5,"SJ","R013.410"," div. hwy ","F","J","Z",5,5,"RO","H"," n/a ","N",4,5/8/1996,1945,926611949," speeding ","clear","day","dry","normal","D"," sideswipe ",2," car ","N"," on sr "," unk ",0,0,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,5,"SJ","R013.410"," div. hwy ","F","J","Z",5,5,"RO","H"," n/a ","N",4,5/8/1996,1945,926611949," speeding ","clear","day","dry","normal","D"," sideswipe ",2," car ","N"," on sr "," unk ",0,0,"V1 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," oth. viol.  unk "," straight ","A unk ",,,,
10,5,"SJ","R013.480"," div. hwy ","F","J","Z",5,5,"RO","H"," n/a ","N",4,9/18/1996,1100,926608693," other. viol. ","clear","day","dry","normal","D"," sideswipe ",2," car ","N"," on sr "," unk ",0,0,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," change lanes ","A unk ",1,1,,
10,5,"SJ","R013.480"," div. hwy ","F","J","Z",5,5,"RO","H"," n/a ","N",4,9/18/1996,1100,926608693," other. viol. ","clear","day","dry","normal","D"," sideswipe ",2," pickup ","N"," on sr "," unk ",0,0,"V1 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,5,"SJ","R013.490"," div. hwy ","F","J","Z",5,5,"RO","H"," n/a ","N",4,2/21/1996,730,926609104," dui ","rain","day","wet","normal","D"," hit object ",1," car ","N"," on sr "," unk ",0,0," call box  beyond shoulder drivers right "," rollover  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," speeding  unk "," off road ","D unk ",1,1,,
10,5,"SJ","R013.590"," div. hwy ","F","J","Z",5,5,"RO","H"," n/a ","N",6,7/5/1996,735,926606353," other. viol. ","clear","day","dry","normal","D"," sideswipe ",3," car ","E"," on sr "," unk ",0,1,"V2 int. lanes ","V3 other "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,,1,
10,5,"SJ","R013.590"," div. hwy ","F","J","Z",5,5,"RO","H"," n/a ","N",6,7/5/1996,735,926606353," other. viol. ","clear","day","dry","normal","D"," sideswipe ",3," semi w/ trailer ","E"," on sr "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,5,"SJ","R013.590"," div. hwy ","F","J","Z",5,5,"RO","H"," n/a ","N",6,7/5/1996,735,926606353," other. viol. ","clear","day","dry","normal","D"," sideswipe ",3," semi w/ 2 trailers ","E"," on sr "," unk ",0,0," n/a  n/a ","V1 int. lanes "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,5,"SJ","R013.770"," div. hwy ","F","J","Z",5,5,"RO","H"," n/a ","N",2,7/8/1996,1700,926611323," speeding ","clear","day","dry","normal","D"," sideswipe ",3," car ","N"," on sr "," unk ",0,2,"V2 right lane ","V3 right shoulder "," n/a  n/a "," n/a  n/a "," oth. viol.  unk "," straight ","A unk ",1,,1,
10,5,"SJ","R013.770"," div. hwy ","F","J","Z",5,5,"RO","H"," n/a ","N",2,7/8/1996,1700,926611323," speeding ","clear","day","dry","normal","D"," sideswipe ",3," car ","N"," on sr "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,5,"SJ","R013.770"," div. hwy ","F","J","Z",5,5,"RO","H"," n/a ","N",2,7/8/1996,1700,926611323," speeding ","clear","day","dry","normal","D"," sideswipe ",3," pickup ","N"," on sr "," unk ",0,0," n/a  n/a ","V1 right shoulder "," n/a  n/a "," n/a  n/a "," none  unk "," parked "," unk ",,,,
10,5,"SJ","R013.860"," div. hwy ","F","J","Z",5,5,"RO","H"," n/a ","N",3,10/29/1996,545,926612700," other. viol. ","rain","dark w/lights ","wet","normal","D"," rear-end ",2," semi w/ trailer ","N"," on sr "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,5,"SJ","R013.860"," div. hwy ","F","J","Z",5,5,"RO","H"," n/a ","N",3,10/29/1996,545,926612700," other. viol. ","rain","dark w/lights ","wet","normal","D"," rear-end ",2," semi w/ trailer ","N"," on sr "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," change lanes ","A unk ",,,,
10,5,"SJ","R013.940"," div. hwy ","F","J","Z",5,5,"RO","H"," n/a ","N",4,6/26/1996,1735,926611323," other than driver ","cloudy","day","dry","normal","D"," hit object ",1," pickup ","N"," on sr "," unk ",0,0," oth. obj on rd  right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,5,"SJ","R014.020"," div. hwy ","F","J","Z",5,4,"RO","H"," n/a ","N",2,9/2/1996,315,926612256," imp. turn ","clear","dark w/lights ","dry","normal","D"," hit object ",1," car ","N"," on sr "," unk ",0,0," traffic sign/signpost  beyond shoulder drivers right "," over embankment  beyond shoulder drivers right "," dike or curb  beyond shoulder drivers right "," rollover  beyond shoulder drivers right "," none  unk "," off road ","AI",1,1,,
10,5,"SJ","R014.060"," div. hwy ","F","J","Z",5,4,"RO","H"," n/a ","N",3,1/16/1996,810,926608693," speeding ","rain","day","wet","normal","D"," rear-end ",2," pickup ","N"," on sr "," unk ",0,0,"V2 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," speeding  unk "," straight ","A unk ",1,1,,
10,5,"SJ","R014.060"," div. hwy ","F","J","Z",5,4,"RO","H"," n/a ","N",3,1/16/1996,810,926608693," speeding ","rain","day","wet","normal","D"," rear-end ",2," car ","N"," on sr "," unk ",0,0,"V1 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," speeding  unk "," straight ","A unk ",,,,
10,5,"SJ","R014.260"," div. hwy ","F","J","Z",5,4,"RO","H"," n/a ","N",3,2/20/1996,710,926608693," speeding ","rain","day","wet"," obstr. in rd. ","A"," rear-end ",2," pickup ","N"," on sr "," unk ",0,0,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," straight ","A unk ",1,1,,
10,5,"SJ","R014.260"," div. hwy ","F","J","Z",5,4,"RO","H"," n/a ","N",3,2/20/1996,710,926608693," speeding ","rain","day","wet"," obstr. in rd. ","A"," rear-end ",2," pickup ","N"," on sr "," unk ",0,0,"V1 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," slowing, stopping ","A unk ",,,,
10,5,"SJ","R014.400"," div. hwy ","F","J","Z",4,4,"RO","H"," n/a ","N",7,2/17/1996,1750,926612590," dui ","cloudy","dark w/lights ","dry","normal","D"," hit object ",1," car ","N"," on sr "," unk ",0,1," over embankment  beyond shoulder drivers right "," rollover  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," speeding  unk "," change lanes ","B unk ",1,,1,
10,5,"SJ","R014.410"," div. hwy ","F","J","Z",4,4,"RO","H"," n/a ","N",3,2/20/1996,650,926509361," speeding ","rain","dusk/dawn","wet","normal","D"," hit object ",2," emerg. veh. ","N"," on sr "," unk ",0,0," n/a  n/a ","V2 left lane "," n/a  n/a "," n/a  n/a "," none  unk "," stopoped "," unk ",1,1,,
10,5,"SJ","R014.410"," div. hwy ","F","J","Z",4,4,"RO","H"," n/a ","N",3,2/20/1996,650,926509361," speeding ","rain","dusk/dawn","wet","normal","D"," hit object ",2," car ","N"," on sr "," unk ",0,0," side of bridge beyond shoulder drivers left ","V1 left lane "," n/a  n/a "," n/a  n/a "," inattention  unk "," straight ","A unk ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"s of 120",15,10,5,0
10,5,"SJ","R014.420"," div. hwy ","F","J","Z",4,4,"RO","H"," n/a ","N",3,2/20/1996,720,926509361," speeding ","rain","day","wet","normal","D"," rear-end ",2," emerg. veh. ","N"," on sr "," unk ",0,0,"V2 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," stopoped "," unk ",1,1,,
