STATION,DATE,PRCP,AWND,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT10,WT13,WT14,WT16,WT18,WT19,WT21,WT22
GHCND:USW00023237,19930101,155,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930102,0,9999,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930103,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930104,0,47,1,1,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930105,0,11,1,1,9999,9999,9999,9999,1,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930106,173,42,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,1,9999,9999,9999,9999
GHCND:USW00023237,19930107,109,38,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,1,9999,9999,9999,9999
GHCND:USW00023237,19930108,18,70,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,1,9999,9999,9999,9999
GHCND:USW00023237,19930109,28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930110,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930111,0,36,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930112,160,26,1,1,9999,9999,9999,9999,1,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930113,99,98,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930114,20,32,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930115,30,81,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,1,9999,9999,9999,9999
GHCND:USW00023237,19930116,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930117,206,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930118,18,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930119,18,33,1,9999,9999,9999,9999,9999,1,9999,9999,9999,1,1,9999,9999,9999,9999
GHCND:USW00023237,19930120,142,117,1,9999,9999,9999,9999,9999,1,9999,9999,9999,1,1,9999,9999,9999,9999
GHCND:USW00023237,19930121,69,71,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930122,0,63,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930123,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930124,0,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930125,0,24,1,1,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930126,0,0,1,1,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930127,0,23,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930128,0,24,1,1,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930129,0,18,1,1,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930130,0,9999,9999,1,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930131,0,9999,1,9999,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930201,0,19,1,9999,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930202,0,17,1,1,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930203,0,29,1,9999,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930204,0,44,1,1,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930205,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930206,0,9999,1,1,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930207,36,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930208,287,38,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930209,3,49,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930210,15,20,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930211,56,36,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930212,0,37,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930213,0,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930214,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930215,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930216,20,38,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930217,8,103,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930218,213,92,1,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930219,81,95,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,1,9999,9999,9999,9999
GHCND:USW00023237,19930220,28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930221,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930222,18,73,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,1,9999,9999,9999,9999
GHCND:USW00023237,19930223,71,63,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930224,0,34,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930225,20,32,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,1,9999,9999,9999,9999
GHCND:USW00023237,19930226,127,55,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,1,9999,9999,9999,9999
GHCND:USW00023237,19930227,0,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930228,0,9999,9999,1,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930301,0,19,1,9999,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930302,0,26,1,1,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930303,3,46,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930304,0,32,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930305,0,31,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930306,0,9999,1,9999,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930307,0,9999,1,9999,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930308,0,8,1,9999,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930309,0,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930310,0,46,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930311,0,39,1,9999,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930312,0,34,1,9999,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930313,13,9999,1,9999,9999,9999,9999,9999,1,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930314,13,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930315,0,33,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930316,86,46,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,1,9999,9999,9999,9999
GHCND:USW00023237,19930317,61,59,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930318,0,49,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930319,0,26,1,9999,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930320,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930321,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930322,0,15,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930323,165,23,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,1,9999,9999,9999,9999
GHCND:USW00023237,19930324,69,25,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930325,122,19,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930326,157,55,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,1,9999,9999,9999,9999
GHCND:USW00023237,19930327,107,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930328,10,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930329,0,24,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930330,0,32,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930331,13,32,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930401,5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930402,0,57,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930403,0,9999,1,9999,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930404,5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930405,0,65,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930406,0,32,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
