,,,"LOC",,,,,,,,,"I","S","D","ACCIDENT",,"COMMON","P","ENVIR",,,"R","R","T","NO","P","D","V","S","PERSN",,"O L","O L","O L","O L","OA","M","SD","Total Accidents","PDO","Injury ","fatal"
,,"U","POST","H","A","M","B",,,"RI","F","R","O","A","DATE","TIME","ACCIDENT","C","COND",,,"C","W","O","MTR","T","I","H","I","K","I","S O","S O","S O","S O","F","O","P",,,,
"DIST","RTES","CO","MILE","G","C","T","A","LT","RT","UO","T","L","H","Y","MO DA YR","HHMM","NUMBER","F","W","L","S",,"C","C","VEH",,"R","I",,,,"P C","O C","O C","O C",12,"V",12,,,,
10,120,"SJ","R005.450","D","F","J","Z",2,2,"UI","H"," n/a ","W",6,1/10/1997,800,926509665," speeding ","fog","day","wet"," normal ","D"," rear-end ",3," semi ","W"," on sr. "," unk ",0,0,"V2 right lane ","V3 right lane "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," straight ","A unk ",1,1,,
10,120,"SJ","R005.450","D","F","J","Z",2,2,"UI","H"," n/a ","W",6,1/10/1997,800,926509665," speeding ","fog","day","wet"," normal ","D"," rear-end ",3," semi w/trailer ","W"," on sr. "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," stopped ","A unk ",,,,
10,120,"SJ","R005.450","D","F","J","Z",2,2,"UI","H"," n/a ","W",6,1/10/1997,800,926509665," speeding ","fog","day","wet"," normal ","D"," rear-end ",3," car ","W"," on sr. "," unk ",0,0," n/a  n/a ","V1 right lane "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," stopped ","G unk ",,,,
10,120,"SJ","R001.230","D","F","K","Z",2,2,"RO","H"," n/a ","E",6,1/17/1997,250,926512806," sleeping ","cloudy"," dark ","dry"," normal ","D"," hit obj. ",1," car ","E"," on sr. "," unk ",0,1," dike or curb  beyond shoulder drivers right "," over embankment  beyond shoulder drivers right "," roll-over beyond shoulder drivers right "," n/a  n/a "," imp. turn  unk "," unsafe turn ","AI",1,,1,
10,120,"SJ","R006.330","D","F","Q","G",2,2,"RO","H"," n/a ","E",6,1/24/1997,1600,926505841," speeding ","cloudy","day","wet"," normal ","D"," rear-end ",2," car ","E"," on sr. "," unk ",0,1,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," straight ","A unk ",1,,1,
10,120,"SJ","R006.330","D","F","Q","G",2,2,"RO","H"," n/a ","E",6,1/24/1997,1600,926505841," speeding ","cloudy","day","wet"," normal ","D"," rear-end ",2," car ","E"," on sr. "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,120,"SJ","R003.150","D","F","J","Z",2,2,"UO","H"," n/a ","E",2,1/27/1997,1435,926513465," oth. viol. ","clear","day","dry"," normal ","D"," rollover ",1," motorcycle ","E"," on sr. "," unk ",0,1," roll-over beyond shoulder drivers left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," def. veh. equip.  unk "," slowing, stopping ","A unk ",1,,1,
10,120,"SJ","R002.910","D","F","J","Z",2,2,"UO","H"," n/a ","W",1,2/2/1997,1745,926513582," oth. viol. ","clear"," dark ","dry"," normal ","D"," hit obj. ",2," car ","W"," on sr. "," unk ",0,1," over embankment  beyond median or stripe left "," fence  beyond median or stripe left "," roll-over beyond median or stripe left "," n/a  n/a "," speeding  unk "," straight ","A unk ",1,,1,
10,120,"SJ","R002.910","D","F","J","Z",2,2,"UO","H"," n/a ","W",1,2/2/1997,1745,926513582," oth. viol. ","clear"," dark ","dry"," normal ","D"," hit obj. ",2," car ","W"," on sr. "," unk ",0,0," n/a  n/a "," n/a  n/a "," n/a  n/a "," n/a  n/a "," speeding  unk "," change lanes ","G unk ",,,,
10,120,"SJ","R004.340","D","F","J","Z",2,2,"UI","H"," n/a ","E",5,2/6/1997,1220,926513762," unk ","clear","day","dry"," normal ","D"," rear-end ",2," car ","E"," on sr. "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","G unk ",1,1,,
10,120,"SJ","R004.340","D","F","J","Z",2,2,"UI","H"," n/a ","E",5,2/6/1997,1220,926513762," unk ","clear","day","dry"," normal ","D"," rear-end ",2," car ","E"," on sr. "," unk ",0,0,"V1 right lane "," temp barricades  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," none  unk "," change lanes ","A unk ",,,,
10,120,"SJ","R005.910","D","F","J","Z",2,2,"UO","H"," n/a ","W",6,3/7/1997,200,926508175," dui ","clear"," dark ","dry"," normal ","D"," rear-end ",2," pickup ","W"," on sr. "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," straight ","B unk ",1,,1,
10,120,"SJ","R005.910","D","F","J","Z",2,2,"UO","H"," n/a ","W",6,3/7/1997,200,926508175," dui ","clear"," dark ","dry"," normal ","D"," rear-end ",2," pickup ","W"," on sr. "," unk ",0,1,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,120,"SJ","R005.240","D","F","J","Z",2,2,"UO","H"," n/a ","E",1,3/23/1997,458,926514199," imp. turn ","clear"," dark w/lights ","dry"," normal ","D"," hit obj. ",1," car ","E"," on sr. "," unk ",0,0," call box  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," off road ","A unk ",1,1,,
10,120,"SJ","R006.350","D","F","Q","G",2,2,"RO","H"," n/a ","E",5,3/27/1997,1745,926513325," tailgating ","clear","day","dry"," normal ","D"," rear-end ",2," car ","E"," on sr. "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," slowing, stopping ","A unk ",1,1,,
10,120,"SJ","R006.350","D","F","Q","G",2,2,"RO","H"," n/a ","E",5,3/27/1997,1745,926513325," tailgating ","clear","day","dry"," normal ","D"," rear-end ",2," car ","E"," on sr. "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," straight ","A unk ",,,,
10,120,"SJ","R006.410","D","F","Q","G",2,2,"RO","H"," n/a ","E",5,3/27/1997,1630,926513325," speeding ","clear","day","dry"," normal ","D"," rear-end ",2," car ","E"," on sr. "," unk ",0,1,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," slowing, stopping ","A unk ",1,,1,
10,120,"SJ","R006.410","D","F","Q","G",2,2,"RO","H"," n/a ","E",5,3/27/1997,1630,926513325," speeding ","clear","day","dry"," normal ","D"," rear-end ",2," car ","E"," on sr. "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," straight ","A unk ",,,,
10,120,"SJ","R001.240","D","F","K","Z",2,2,"RO","H"," n/a ","E",4,4/9/1997,130,926511561," sleeping ","clear"," dark ","dry"," normal ","D"," hit obj. ",1," car ","E"," on sr. "," unk ",0,0," over embankment  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," n/a  n/a "," imp. turn  unk "," off road ","AI",1,1,,
10,120,"SJ","R004.910","D","F","J","Z",2,2,"UO","H"," n/a ","E",7,4/26/1997,825,926508193," oth. viol. ","clear","day","dry"," normal ","D"," sideswipe ",2," car ","E"," on sr. "," unk ",0,0,"V2 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," change lanes ","A unk ",1,1,,
10,120,"SJ","R004.910","D","F","J","Z",2,2,"UO","H"," n/a ","E",7,4/26/1997,825,926508193," oth. viol. ","clear","day","dry"," normal ","D"," sideswipe ",2," car ","E"," on sr. "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,120,"SJ","R001.188","D","F","K","Z",2,2,"RO","R",4,"E",6,5/16/1997,1115,926512723," no yield ","clear","day","dry"," normal ","A"," t-bone ",2," car ","N"," not on sr "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,120,"SJ","R001.188","D","F","K","Z",2,2,"RO","R",4,"E",6,5/16/1997,1115,926512723," no yield ","clear","day","dry"," normal ","A"," t-bone ",2," car ","E"," on sr. "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,120,"SJ","R000.560","D","F","K","Z",2,2,"RO","H"," n/a ","E",3,6/10/1997,1515,926505841," oth. viol. ","clear","day","dry"," normal ","D"," hit obj. ",2," car ","E"," on sr. "," unk ",0,1," over embankment  beyond shoulder drivers left "," roll-over beyond shoulder drivers left "," n/a  n/a "," n/a  n/a "," inattention  unk "," straight ","A unk ",1,,1,
10,120,"SJ","R000.560","D","F","K","Z",2,2,"RO","H"," n/a ","E",3,6/10/1997,1515,926505841," oth. viol. ","clear","day","dry"," normal ","D"," hit obj. ",2," car ","E"," on sr. "," unk ",0,0," n/a  n/a "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," change lanes ","G unk ",,,,
10,120,"SJ","R001.189","D","F","K","Z",2,2,"RO","R",2,"W",5,6/19/1997,1530,926513465," imp. turn ","clear","day","dry"," normal ","D"," hit obj. ",1," pickup ","W"," on sr. "," unk ",0,1," dike or curb  beyond shoulder drivers right "," roll-over right lane "," n/a  n/a "," n/a  n/a "," none  unk "," off road ","A unk ",1,,1,
10,120,"SJ","R005.710","D","F","J","Z",2,2,"UI","H"," n/a ","E",6,6/27/1997,1615,926513647," speeding ","clear","day","dry"," normal ","D"," rear-end ",3," car ","E"," on sr. "," unk ",0,1,"V2 right lane ","V3 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,,1,
10,120,"SJ","R005.710","D","F","J","Z",2,2,"UI","H"," n/a ","E",6,6/27/1997,1615,926513647," speeding ","clear","day","dry"," normal ","D"," rear-end ",3," car ","E"," on sr. "," unk ",0,1,"V1 right lane "," roll-over right lane "," n/a  n/a "," n/a  n/a "," none  unk "," stopped ","A unk ",,,,
10,120,"SJ","R005.710","D","F","J","Z",2,2,"UI","H"," n/a ","E",6,6/27/1997,1615,926513647," speeding ","clear","day","dry"," normal ","D"," rear-end ",3," pickup ","E"," on sr. "," unk ",0,2," n/a  n/a ","V1 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," stopped ","A unk ",,,,
