,,,"LOC",,,,,,,,,"I","S","D","ACCIDENT",,"COMMON","P","ENVIR",,,"R","R","T","NO","P","D","V","S","PERSN",,"O L","O L","O L","O L","OA","M","SD","Total Accidents","PDO","Injury","Fatal"
,,"U","POST","H","A","M","B",,,"RI","F","R","O","A","DATE","TIME","ACCIDENT","C","COND",,,"C","W","O","MTR","T","I","H","I","K","I","S O","S O","S O","S O","F","O","P",,,,
"DIST","RTES","CO","MILE","G","C","T","A","LT","RT","UO","T","L","H","Y","MO DA YR","HHMM","NUMBER","F","W","L","S",,"C","C","VEH",,"R","I",,,,"P C","O C","O C","O C",12,"V",12,,,,
10,120,"SJ","R006.030",,,,,,,,"H"," n/a ","E"," wed ",1/1/1992,1825,926506460," speeding ","clear","dark","dry"," normal ","D"," rear-end ",2," pickup ","E"," on sr. "," unk ",0,2,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",1,,1,
10,120,"SJ","R006.030",,,,,,,,"H"," n/a ","E"," wed ",1/1/1992,1825,926506460," speeding ","clear","dark","dry"," normal ","D"," rear-end ",2," car ","E"," on sr. "," unk ",0,1,"V1 right lane "," median barrier  beyond shoulder driver's left "," n/a  n/a "," n/a  n/a "," inattention unk "," straight ","A unk ",,,,
10,120,"SJ","R004.810",,,,,,,,"H"," n/a ","W"," thur ",1/9/1992,423,926506460," speeding ","fog","dark","dry"," normal ","D"," rear-end ",2," pickup ","W"," on sr. "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,120,"SJ","R004.810",,,,,,,,"H"," n/a ","W"," thur ",1/9/1992,423,926506460," speeding ","fog","dark","dry"," normal ","D"," rear-end ",2," pickup ","W"," on sr. "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," other  unk "," straight ","G unk ",,,,
10,120,"SJ","R006.250",,,,,,,,"H"," n/a ","E"," wed ",1/22/1992,1750,926511335," speeding ","cloudy","dark","dry"," normal ","D"," rear-end ",3," car ","E"," on sr. "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," tailgating  unk "," slowing, stopping ","A unk ",1,1,,
10,120,"SJ","R006.250",,,,,,,,"H"," n/a ","E"," wed ",1/22/1992,1750,926511335," speeding ","cloudy","dark","dry"," normal ","D"," rear-end ",3," car ","E"," on sr. "," unk ",0,0,"V1 right lane ","V3 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",,,,
10,120,"SJ","R006.250",,,,,,,,"H"," n/a ","E"," wed ",1/22/1992,1750,926511335," speeding ","cloudy","dark","dry"," normal ","D"," rear-end ",3," semi ","E"," on sr. "," unk ",0,0," n/a  n/a ","V2 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," stopped ","G unk ",,,,
10,120,"SJ","R002.180",,,,,,,,"H"," n/a ","W"," mon ",2/10/1992,55,926512806," not driver ","rain","dark","wet"," obstr. on rd. ","D"," hit object ",1," semi w/1 trailer ","W"," on sr. "," unk ",0,0," other obj. on rd  right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,120,"SJ","R002.180",,,,,,,,"H"," n/a ","W"," mon ",2/10/1992,56,926512806," not driver ","rain","dark","wet"," obstr. on rd. ","D"," hit object ",1," pickup ","W"," on sr. "," unk ",0,0," other obj. on rd  right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,120,"SJ","R003.576",,,,,,,,"R",3,"E"," wed ",2/12/1992,1315,926508193," imp. turn ","cloudy","day","wet"," normal ","D"," hit object ",1," semi w/1 trailer ","S"," not on sr. "," unk ",0,0," light or signal pole  beyond shoulder driver's left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention unk "," left turn ","AI",1,1,,
10,120,"SJ","R005.910",,,,,,,,"H"," n/a ","E"," sun ",2/23/1992,2100,926506231," oth. viol. ","cloudy","dark","dry"," normal ","A"," sideswipe ",2," car ","E"," on sr. "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention unk "," merging ","A unk ",1,1,,
10,120,"SJ","R005.910",,,,,,,,"H"," n/a ","E"," sun ",2/23/1992,2100,926506231," oth. viol. ","cloudy","dark","dry"," normal ","A"," sideswipe ",2," semi w/1 trailer ","E"," on sr. "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,120,"SJ","R002.630",,,,,,,,"H"," n/a ","E"," sun ",2/23/1992,2310,926509665," imp. turn ","clear","dark","dry"," normal ","D"," hit object ",1," car ","E"," on sr. "," unk ",0,0," over embankment  beyond shoulder drivers right "," rollover  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," other  unk "," off road ","A unk ",1,1,,
10,120,"SJ","R002.630",,,,,,,,"H"," n/a ","E"," sun ",2/23/1992,2310,926509665," imp. turn ","clear","dark","dry"," normal ","D"," hit object ",1," animal "," unk "," n/a "," unk ",0,0," n/a  n/a "," n/a  n/a "," n/a  n/a "," n/a  n/a "," unk "," unk "," unk ",,,,
10,120,"SJ","R002.940",,,,,,,,"H"," n/a ","E"," tue ",2/25/1992,855,926509361," dui ","clear","day","dry"," normal ","D"," hit object ",1," car ","E"," on sr. "," unk ",0,0," median barrier  beyond shoulder driver's left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," imp. turn  unk "," off road ","B unk ",1,1,,
10,120,"SJ","R002.350",,,,,,,,"H"," n/a ","W"," thur ",2/27/1992,645,926510999," speeding ","fog","day","dry"," normal ","D"," rear-end ",3," car ","W"," on sr. "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",1,1,,
10,120,"SJ","R002.350",,,,,,,,"H"," n/a ","W"," thur ",2/27/1992,645,926510999," speeding ","fog","day","dry"," normal ","D"," rear-end ",3," pickup ","W"," on sr. "," unk ",0,0,"V1 right lane ","V3 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," stopped ","A unk ",,,,
10,120,"SJ","R002.350",,,,,,,,"H"," n/a ","W"," thur ",2/27/1992,645,926510999," speeding ","fog","day","dry"," normal ","D"," rear-end ",3," semi w/1 trailer ","W"," on sr. "," unk ",0,0," n/a  n/a ","V2 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," stopped ","G unk ",,,,
10,120,"SJ","R003.510",,,,,,,,"H"," n/a ","W"," thur ",2/27/1992,715,926510999," speeding ","fog","day","dry"," normal ","A"," rear-end ",3," car ","W"," on sr. "," unk ",0,0,"V2 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",1,1,,
10,120,"SJ","R003.510",,,,,,,,"H"," n/a ","W"," thur ",2/27/1992,715,926510999," speeding ","fog","day","dry"," normal ","A"," rear-end ",3," car ","W"," on sr. "," unk ",0,0,"V1 left lane "," median barrier  beyond shoulder driver's left ","V3 left lane "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",,,,
10,120,"SJ","R003.510",,,,,,,,"H"," n/a ","W"," thur ",2/27/1992,715,926510999," speeding ","fog","day","dry"," normal ","A"," rear-end ",3," car ","W"," on sr. "," unk ",0,0," n/a  n/a ","V2 left lane "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",,,,
10,120,"SJ","R002.920",,,,,,,,"H"," n/a ","W"," thur ",3/5/1992,1740,926509717," oth. viol. ","cloudy","day","wet"," normal ","D"," hit object ",2," car ","W"," on sr. "," unk ",0,1," median barrier  beyond shoulder driver's left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",1,,1,
10,120,"SJ","R002.920",,,,,,,,"H"," n/a ","W"," thur ",3/5/1992,1740,926509717," oth. viol. ","cloudy","day","wet"," normal ","D"," hit object ",2," car ","W"," on sr. "," unk ",0,0," n/a  n/a "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","G unk ",,,,
10,120,"SJ","R000.830",,,,,,,,"H"," n/a ","E"," thur ",3/12/1992,645,926510999," imp. turn ","clear","day","dry"," normal ","D"," hit object ",1," car ","E"," on sr. "," unk ",0,1," traffic sign/signpost  beyond shoulder drivers right "," over embankment  beyond shoulder drivers right "," rollover  beyond shoulder drivers right "," n/a  n/a "," inattention unk "," off road ","A unk ",1,,1,
10,120,"SJ","R001.360",,,,,,,,"H"," n/a ","E"," fri ",3/27/1992,1250,926510350," imp. turn ","clear","day","dry"," normal ","D"," hit object ",1," car ","E"," on sr. "," unk ",0,1," side of bridge  beyond shoulder driver's left "," side of bridge  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," none  unk "," off road ","A unk ",1,,1,
10,120,"SJ","R002.520",,,,,,,,"H"," n/a ","E"," sun ",4/12/1992,2140,926506807," imp. turn ","rain","dark","wet"," normal ","D"," hit object ",1," car ","E"," on sr. "," unk ",0,1," median barrier  beyond shoulder driver's left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," off road ","A unk ",1,,1,
10,120,"SJ","R002.130",,,,,,,,"H"," n/a ","W"," wed ",4/22/1992,1019,926509277," speeding ","clear","day","dry"," normal ","D"," rear-end ",3," pickup ","W"," on sr. "," unk ",0,0," n/a  n/a ","V2 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," stopped ","A unk ",1,,1,
10,120,"SJ","R002.130",,,,,,,,"H"," n/a ","W"," wed ",4/22/1992,1019,926509277," speeding ","clear","day","dry"," normal ","D"," rear-end ",3," car ","W"," on sr. "," unk ",0,3,"V3 right lane ","V1 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",,,,
10,120,"SJ","R002.130",,,,,,,,"H"," n/a ","W"," wed ",4/22/1992,1019,926509277," speeding ","clear","day","dry"," normal ","D"," rear-end ",3," car ","W"," on sr. "," unk ",0,1,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention unk "," slowing, stopping ","A unk ",,,,
10,120,"SJ","R002.340",,,,,,,,"H"," n/a ","W"," sun ",5/10/1992,200,926511351," speeding ","clear","dark","dry"," normal ","D"," rear-end ",2," car ","W"," on sr. "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,120,"SJ","R002.340",,,,,,,,"H"," n/a ","W"," sun ",5/10/1992,200,926511351," speeding ","clear","dark","dry"," normal ","D"," rear-end ",2," car ","W"," on sr. "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",,,,
